channel_title,category_name,total_videos,avg_views,avg_engagement,total_views,percentage
  Appoint,Film & Animation,3,5670188.33,1.91,17010565,100.0
 2333 studio Maitanov ,Travel & Events,1,1459167.0,3.27,1459167,100.0
 ALLBLACK_G10 ,People & Blogs,1,439093.0,6.13,439093,100.0
 Ancient Truth,People & Blogs,3,2061622.0,4.8,6184866,100.0
 Armenchik,Music,1,386411.0,1.57,386411,100.0
 Bagro vs horts,Music,1,3150450.0,2.76,3150450,100.0
 Bradley M Oswald,Entertainment,1,895551.0,1.23,895551,100.0
 EMKO,Autos & Vehicles,4,4693759.0,1.43,18775036,100.0
 FORTE VINGADOR ,Sports,1,331875.0,1.78,331875,100.0
 Fair,Film & Animation,3,2252201.33,5.83,6756604,100.0
 Guddu top 10 music ,People & Blogs,1,168219.0,0.4,168219,100.0
 Hoan Vlog,People & Blogs,1,2078755.0,1.57,2078755,100.0
 Koi,Film & Animation,5,5673498.0,1.65,28367490,100.0
 Liros life,People & Blogs,2,340990.5,4.29,681981,100.0
 Naughty cats,People & Blogs,2,737885.5,3.99,1475771,100.0
 Philip Hitschler // hitschies,People & Blogs,1,330230.0,3.74,330230,100.0
 PolicíaShorts,People & Blogs,1,936297.0,1.59,936297,100.0
 Shorts Factory,People & Blogs,1,260403.0,0.62,260403,100.0
 Top Católicas Canções ,Music,1,14867.0,3.43,14867,100.0
 V!деопортал,Film & Animation,1,602585.0,0.08,602585,100.0
 YTN,News & Politics,3,757638.33,1.84,2272915,100.0
 fitjubuda,People & Blogs,1,190001.0,4.94,190001,100.0
 Виралька,Comedy,1,438264.0,3.91,438264,100.0
 Кабан - Роблокс,Gaming,269,301222.96,2.63,81028976,100.0
 Красивые истории,People & Blogs,1,119178.0,4.65,119178,100.0
 ТРЕНДИ ШОРТС,Gaming,1,997885.0,1.66,997885,100.0
 Юрист Германии,People & Blogs,1,43748.0,8.71,43748,100.0
 ショートキング,People & Blogs,2,471376.0,3.03,942752,100.0
 개그콘서트,Entertainment,1,4537963.0,1.69,4537963,100.0
 머슬랩,Sports,1,90921.0,1.46,90921,100.0
 𝔅𝔩𝔵 𝔉𝔬𝔬𝔱𝔟𝔞𝔩𝔩 𝔈𝔡𝔦𝔱𝔷,People & Blogs,1,1289061.0,2.72,1289061,100.0
 🐾SHIBAMARU🐾 ,People & Blogs,1,1184627.0,1.88,1184627,100.0
#1 Миша Бур / Новости Германии и Мира / Интервью,News & Politics,1,171571.0,4.47,171571,100.0
#neкаха,People & Blogs,3,2829298.0,1.58,8487894,100.0
#ЯНАФОРМЕ,Sports,1,1201772.0,0.14,1201772,100.0
#ЯсяАктриса,People & Blogs,1,967845.0,4.62,967845,100.0
&TEAM,People & Blogs,1,369899.0,14.68,369899,100.0
(パーソル パ・リーグTV公式)PacificLeagueTV,Sports,1,177344.0,1.04,177344,100.0
*FeedHypado | Cortes de Podcast,People & Blogs,1,1627948.0,5.79,1627948,100.0
+Igu,Gaming,1,43436.0,4.43,43436,100.0
- NS -,Gaming,1,13143.0,10.0,13143,100.0
0.1통 라이더,Sports,1,1165989.0,1.1,1165989,100.0
01 DO FUNK ,Music,1,12429.0,1.71,12429,100.0
01novatofc,People & Blogs,1,1263592.0,3.45,1263592,100.0
021Oruam,Entertainment,1,1790485.0,5.21,1790485,100.0
023 TEAM,Entertainment,1,1088685.0,2.6,1088685,100.0
03- Performance,Music,6,237643.17,2.04,1425859,1.76
03- Performance,People & Blogs,335,416772.18,1.9,139618680,98.24
1. FC Köln,Entertainment,1,196865.0,3.83,196865,100.0
10 детей на двоих | Arabadji,People & Blogs,1,361359.0,1.38,361359,100.0
100% Shorts,Entertainment,1,6874837.0,0.0,6874837,100.0
100億年LOVE【Aマッソ 加納×ラランド サーヤ×3時のヒロイン 福田】,People & Blogs,1,1857549.0,3.42,1857549,100.0
100円娯楽(税抜),Gaming,1,897881.0,3.34,897881,100.0
107zhupindao,People & Blogs,2,1483996.0,1.67,2967992,100.0
10B,Gaming,1,88764.0,2.37,88764,100.0
10TV News Telugu,News & Politics,1,25458.0,0.75,25458,100.0
10minutesl'actu,News & Politics,1,167760.0,4.92,167760,100.0
10秒ショート,Pets & Animals,1,174552.0,5.39,174552,100.0
1155 do ET,Gaming,1,48129.0,13.47,48129,100.0
11Pulse FC,People & Blogs,1,586789.0,3.58,586789,100.0
12 News,News & Politics,2,1302837.0,0.68,2605674,100.0
120,Entertainment,1,699529.0,4.86,699529,100.0
123 Gabriella,People & Blogs,1,1060046.0,1.71,1060046,100.0
124studio,Entertainment,1,912566.0,0.66,912566,100.0
13.1cm,Science & Technology,1,327879.0,1.31,327879,100.0
16x16 cars,Entertainment,1,283249.0,3.06,283249,100.0
1980sGamer,Entertainment,3,107508.33,10.67,322525,100.0
19:04 - Inside Schalke,Sports,1,36906.0,3.73,36906,100.0
1theK (원더케이),Entertainment,102,6604.38,2.94,673647,20.4
1theK (원더케이),Music,398,26527.82,5.19,10558073,79.6
1theK Originals - 원더케이 오리지널,Entertainment,500,304344.58,4.0,152172290,100.0
1vsAll,Gaming,1,110933.0,0.98,110933,100.0
1分J民,Entertainment,2,710883.5,4.24,1421767,100.0
1分くれ,Entertainment,1,197917.0,1.89,197917,100.0
1分だけ,Film & Animation,1,4193548.0,2.55,4193548,100.0
1分ちょうだい,Film & Animation,2,1124057.0,2.58,2248114,100.0
1分の空,Comedy,1,1015605.0,2.54,1015605,100.0
1分の笑い,People & Blogs,1,308904.0,6.19,308904,100.0
1分まなび,People & Blogs,1,453130.0,1.72,453130,100.0
1分カット,Film & Animation,1,1292164.0,3.7,1292164,100.0
1分シネマ,People & Blogs,2,1273575.0,2.07,2547150,100.0
1分バズ★パグ,People & Blogs,1,1753310.0,3.25,1753310,100.0
1分動画,Comedy,3,745530.0,3.04,2236590,100.0
1分日報,People & Blogs,1,1814086.0,2.43,1814086,100.0
1分運動時間,Sports,1,690841.0,0.74,690841,100.0
1分韓国友達話,People & Blogs,1,908115.0,2.34,908115,100.0
1급 비밀,People & Blogs,1,2108284.0,3.54,2108284,100.0
1분 줌인,Sports,1,4127229.0,4.13,4127229,100.0
1분뉴스픽,People & Blogs,1,142480.0,1.65,142480,100.0
1분동물클럽,Pets & Animals,1,554615.0,1.93,554615,100.0
1분드라마모음zip,People & Blogs,1,2247241.0,1.13,2247241,100.0
1분미만,Howto & Style,1,140526.0,5.11,140526,100.0
1분빼기,Entertainment,1,229349.0,0.7,229349,100.0
1분쇼케치북,Comedy,1,588479.0,0.61,588479,100.0
1분예능모음zip,People & Blogs,2,1233128.0,1.75,2466256,100.0
1분요리왕 통키,People & Blogs,1,177017.0,6.6,177017,100.0
1분컷,People & Blogs,1,992842.0,0.73,992842,100.0
1인속보,People & Blogs,1,22929.0,2.8,22929,100.0
2 na Linha 1 no Gol,People & Blogs,1,1938778.0,5.49,1938778,100.0
20 Minutes France,News & Politics,1,198669.0,2.69,198669,100.0
2000’s Internet Fever,Gaming,3,1352950.33,5.14,4058851,100.0
205-6-1jkl,People & Blogs,1,1812379.0,2.13,1812379,100.0
24 News,News & Politics,3,198678.0,1.85,596034,100.0
24 Канал,News & Politics,2,325630.0,2.94,651260,100.0
262wave,Sports,1,114395.0,1.73,114395,100.0
