country_code,country_name,category_name,total_videos,avg_views,avg_engagement,total_views
BR,Brazil,Gaming,7276,1526168.62,4.27,11104402903
BR,Brazil,Music,3348,1233687.92,4.7,4130387163
BR,Brazil,Entertainment,2971,614280.13,8.3,1825026265
BR,Brazil,People & Blogs,1024,1700494.74,6.59,1741306617
BR,Brazil,Sports,122,2228422.66,4.76,271867564
BR,Brazil,Pets & Animals,23,6440328.35,3.98,148127552
BR,Brazil,Film & Animation,1026,137209.12,4.05,140776558
BR,Brazil,Comedy,55,2139212.53,4.92,117656689
BR,Brazil,Science & Technology,58,1698943.57,7.56,98538727
BR,Brazil,Education,144,587590.72,6.46,84613063
BR,Brazil,Autos & Vehicles,47,1786199.06,4.2,83951356
BR,Brazil,Howto & Style,7,11343025.14,3.39,79401176
BR,Brazil,Travel & Events,6,5257638.33,8.03,31545830
BR,Brazil,News & Politics,89,244852.01,7.95,21791829
BR,Brazil,Nonprofits & Activism,4,1070002.75,3.84,4280011
CA,Canada,Music,5234,3031830.58,4.38,15868601245
CA,Canada,Gaming,5534,2007933.33,3.21,11111903060
CA,Canada,Entertainment,2854,974590.48,2.7,2781481228
CA,Canada,People & Blogs,1103,2061036.36,4.54,2273323108
CA,Canada,Film & Animation,840,1216901.62,2.31,1022197361
CA,Canada,Sports,103,3534815.72,3.66,364086019
CA,Canada,Pets & Animals,37,6507415.68,4.23,240774380
CA,Canada,Howto & Style,36,5868882.81,5.49,211279781
CA,Canada,Education,48,3474090.15,5.36,166756327
CA,Canada,Comedy,84,1924285.36,6.01,161639970
CA,Canada,Autos & Vehicles,75,1904425.07,4.51,142831880
CA,Canada,Science & Technology,94,1254931.96,5.18,117963604
CA,Canada,News & Politics,134,604389.65,4.43,80988213
CA,Canada,Travel & Events,23,3176139.09,6.83,73051199
CA,Canada,Nonprofits & Activism,1,7609997.0,4.63,7609997
DE,Germany,Gaming,6737,905407.07,3.75,6099727457
DE,Germany,Entertainment,4815,870885.46,3.47,4193313475
DE,Germany,Music,2831,1037340.82,4.4,2936711875
DE,Germany,People & Blogs,577,3015291.65,3.79,1739823280
DE,Germany,Film & Animation,631,1028718.98,3.41,649121675
DE,Germany,Sports,126,2756031.87,2.82,347260016
DE,Germany,Pets & Animals,30,6460323.4,3.46,193809702
DE,Germany,Autos & Vehicles,80,1728670.55,3.22,138293644
DE,Germany,Howto & Style,38,3304080.79,4.08,125555070
DE,Germany,Science & Technology,101,1112186.77,4.87,112330864
DE,Germany,Comedy,67,1618234.81,3.88,108421732
DE,Germany,Education,41,1809552.88,5.42,74191668
DE,Germany,News & Politics,106,634879.71,5.16,67297249
DE,Germany,Travel & Events,18,3001191.44,5.11,54021446
DE,Germany,Nonprofits & Activism,2,3838410.0,4.8,7676820
FR,France,Music,4141,2067778.85,3.66,8562672212
FR,France,Gaming,7014,1089096.15,3.68,7638920426
FR,France,People & Blogs,541,3362728.05,3.89,1819235877
FR,France,Entertainment,1611,1059914.7,5.88,1707522587
FR,France,Film & Animation,1816,283153.53,1.75,514206804
FR,France,Sports,113,2560582.04,3.54,289345771
FR,France,Howto & Style,521,460134.45,5.47,239730051
FR,France,Pets & Animals,27,6827380.89,3.47,184339284
FR,France,Comedy,101,1467050.76,5.25,148172127
FR,France,Science & Technology,72,1493099.22,4.95,107503144
FR,France,Autos & Vehicles,72,1437342.58,4.02,103488666
FR,France,Education,25,1850126.44,4.46,46253161
FR,France,Travel & Events,9,2998930.67,4.12,26990376
FR,France,News & Politics,135,192343.59,5.5,25966384
FR,France,Nonprofits & Activism,2,3813021.0,2.99,7626042
GB,United Kingdom,Gaming,5617,1675322.55,2.93,9410286752
GB,United Kingdom,Music,4676,1707164.02,3.61,7982698936
GB,United Kingdom,Entertainment,3455,836728.67,3.0,2890897547
GB,United Kingdom,People & Blogs,1287,1784628.79,4.13,2296817258
GB,United Kingdom,Film & Animation,771,1264579.85,2.15,974991063
GB,United Kingdom,Sports,118,3025056.78,3.23,356956700
GB,United Kingdom,Pets & Animals,36,6190629.64,3.69,222862667
GB,United Kingdom,Howto & Style,38,5157227.61,5.07,195974649
GB,United Kingdom,Education,39,4165315.67,5.61,162447311
GB,United Kingdom,Autos & Vehicles,80,1808156.6,4.64,144652528
GB,United Kingdom,Science & Technology,97,1297139.47,5.26,125822529
GB,United Kingdom,Comedy,46,2349439.3,5.35,108074208
GB,United Kingdom,News & Politics,116,654329.04,4.78,75902169
GB,United Kingdom,Travel & Events,23,2467384.48,6.88,56749843
GB,United Kingdom,Nonprofits & Activism,1,7606996.0,4.63,7606996
IN,India,Gaming,4901,2363372.6,3.85,11582889094
IN,India,Music,6610,810374.2,2.56,5356573485
IN,India,Entertainment,3070,1022593.64,3.17,3139362471
IN,India,Film & Animation,351,2723871.46,2.94,956078882
IN,India,People & Blogs,858,628641.26,2.28,539374200
IN,India,Comedy,67,3574950.06,3.73,239521654
IN,India,Howto & Style,39,2417728.79,4.93,94291423
IN,India,Science & Technology,49,1580337.39,6.1,77436532
IN,India,News & Politics,149,488962.21,2.61,72855369
IN,India,Sports,59,846532.15,3.16,49945397
IN,India,Travel & Events,13,3101356.38,4.85,40317633
IN,India,Autos & Vehicles,15,1578534.87,2.51,23678023
IN,India,Education,16,1327188.12,3.81,21235010
IN,India,Pets & Animals,2,362584.0,3.26,725168
JP,Japan,Gaming,8119,934141.48,1.9,7584294646
JP,Japan,Music,3811,1782868.71,6.61,6794512637
JP,Japan,Entertainment,2671,630013.09,5.28,1682764970
JP,Japan,People & Blogs,859,1401529.54,2.41,1203913871
JP,Japan,Sports,234,712798.44,1.19,166794836
