category_name,channel_title,total_videos,avg_views,avg_engagement,total_views,countries_count
Autos & Vehicles,Car Lover's Corner,10,10536326.4,1.86,105363264,10
Autos & Vehicles,Miami Repo Show,9,9835757.44,1.79,88521817,9
Autos & Vehicles,Best Mechanics Around the World,9,7050750.11,1.49,63456751,9
Autos & Vehicles,Next Level Hands,6,9609773.17,2.87,57658639,6
Autos & Vehicles,Ayfoo_Its_Otis,10,5197415.4,3.62,51974154,10
Autos & Vehicles,Autobahn Performance,8,5766413.88,0.96,46131311,7
Autos & Vehicles,Driveway Finds,4,7123543.25,3.36,28494173,4
Autos & Vehicles,Vibes On Vibes,4,6866522.25,4.63,27466089,4
Autos & Vehicles,Mat Armstrong,5,5414885.4,3.73,27074427,5
Autos & Vehicles,Malik Ahmar,8,3283028.5,2.36,26264228,8
Autos & Vehicles,Dorothy Lech,6,3666062.17,2.01,21996373,6
Autos & Vehicles,CN Motos,6,3482064.33,1.19,20892386,6
Autos & Vehicles, EMKO,4,4693759.0,1.43,18775036,4
Autos & Vehicles,MF_PERFORMANCE_Austria,1,16490144.0,2.47,16490144,1
Autos & Vehicles,Dirtbiketrick,4,4099882.5,2.77,16399530,4
Autos & Vehicles,Alan Trucker,2,7697419.0,3.84,15394838,2
Autos & Vehicles,2WheelChaos,5,3051303.4,6.5,15256517,5
Autos & Vehicles,스카이휠,1,12815651.0,1.52,12815651,1
Autos & Vehicles,The Fast Lane Car,4,3149001.25,5.9,12596005,4
Autos & Vehicles,Exotic Rubber,6,1978259.0,4.01,11869554,6
Comedy,Quick fun,8,10114431.75,0.0,80915454,8
Comedy,랄로,17,2954419.12,0.96,50225125,1
Comedy,Heloisy Bello ,3,14358674.33,1.45,43076023,3
Comedy,Rixan ,2,18754840.0,2.21,37509680,2
Comedy,ElMariana Gaming,31,1203035.81,6.87,37294110,1
Comedy,Skinnyfromthe9,9,3921916.11,7.28,35297245,4
Comedy,GregGotCars,5,7046734.8,2.95,35233674,5
Comedy,Rubius Z,10,3408797.2,7.04,34087972,1
Comedy,Royalty Major TV,4,8345010.75,5.24,33380043,4
Comedy,Jimmy Kimmel Live,11,2998983.0,4.05,32988813,6
Comedy,radmiru,2,16216695.5,3.04,32433391,2
Comedy,Lionfield,4,8026396.25,6.16,32105585,3
Comedy,Hablame pri ,4,7911166.5,3.17,31644666,4
Comedy,Wankil Studio - Laink et Terracid,17,1650693.35,5.02,28061787,1
Comedy,The Daily Show,6,4534698.33,3.05,27208190,6
Comedy,Family Gaming SHORTS,4,6511263.5,3.05,26045054,4
Comedy,Galletau.u,3,8257209.0,6.84,24771627,2
Comedy,OLIDA  Vlogs and Vines,1,24231868.0,1.29,24231868,1
Comedy,Jagriti Pahwa,2,10017630.5,3.7,20035261,1
Comedy,Markiplier,6,3043204.33,6.26,18259226,2
Education,Ollys TV,12,12918889.58,3.68,155026675,7
Education,The Outliners ,7,10410292.14,4.34,72872045,4
Education,Vitor Fernandes,116,500287.97,6.09,58033404,1
Education,Creating Wealth,6,8387803.0,6.09,50326818,3
Education,Visual Drop,4,10943232.75,4.6,43772931,4
Education,Curious Cat,3,10089335.0,4.93,30268005,3
Education,TheWealthrive,3,9669924.0,7.1,29009772,3
Education,VIRAL VIDEOS Official,4,7054622.5,0.11,28218490,4
Education,Brain Blast,3,8986192.0,5.07,26958576,3
Education,GROWTH™,6,4088742.17,5.4,24532453,4
