country_code,country_name,channel_title,total_videos,avg_views,avg_engagement,total_views,dominant_category
BR,Brazil,Brawl Stars,400,10751894.02,3.38,4300757607,Gaming
BR,Brazil,Athos,500,4225552.32,0.75,2112776162,Gaming
BR,Brazil,Vitor Fernandes,281,7422076.78,3.68,2085603576,Music
BR,Brazil,Jazzghost,500,3614364.7,3.85,1807182350,Gaming
BR,Brazil,BANGTANTV,500,1515584.73,15.31,757792364,Music
BR,Brazil,Roosevan ,250,2112564.7,1.85,528141176,Gaming
BR,Brazil,MC Negão Original,89,5002766.2,1.72,445246192,Music
BR,Brazil,Lucas Clash ON,500,890438.21,2.15,445219107,Gaming
BR,Brazil,ProbIems,500,773913.0,1.95,386956501,Gaming
BR,Brazil,NMIXX,498,745857.11,6.08,371436840,Entertainment
BR,Brazil,Canal Clash War,500,723869.15,4.12,361934573,Gaming
BR,Brazil,Play Guima,500,544621.56,2.94,272310781,Gaming
BR,Brazil,Netflix Brasil,500,534967.25,3.95,267483627,Entertainment
BR,Brazil,alanzoka,500,479570.52,5.55,239785262,Gaming
BR,Brazil,Dalete Hungria,500,469555.25,9.24,234777623,People & Blogs
BR,Brazil,Dj Danny Albuquerque,500,340244.99,0.78,170122496,Music
BR,Brazil,My Singing Monsters,500,314237.34,2.63,157118670,Gaming
BR,Brazil,Kalli,89,1752144.04,4.94,155940820,Music
BR,Brazil,Musile Records,500,291767.74,7.86,145883872,Music
BR,Brazil,MaxMRM GAMEPLAY,500,236982.93,10.08,118491463,Gaming
CA,Canada,Gorillaz,465,12258712.88,3.99,5700301491,Music
CA,Canada,Brawl Stars,400,10750536.31,3.38,4300214524,Gaming
CA,Canada,Brown Town Music,233,16486241.75,1.85,3841294327,Music
CA,Canada,STARSHIP,500,5168886.92,8.17,2584443459,Music
CA,Canada,Markiplier,500,3942763.37,4.91,1971381684,Gaming
CA,Canada,CaylusBlox,500,3349918.83,1.54,1674959417,Gaming
CA,Canada,EazySpeezy,500,2193879.76,3.12,1096939880,Gaming
CA,Canada,JOLIN 蔡依林,362,2172539.53,1.69,786459311,Music
CA,Canada,BANGTANTV,500,1515518.61,15.31,757759303,Music
CA,Canada,Laufey,500,1272110.13,7.07,636055063,Music
CA,Canada,Netflix,500,1051786.29,1.95,525893147,Entertainment
CA,Canada,Warner Bros.,500,964338.0,2.79,482169001,Entertainment
CA,Canada,Prime Video,500,959191.09,2.52,479595543,Entertainment
CA,Canada,Jynxzi Live,500,901937.89,2.4,450968943,Gaming
CA,Canada,Anirudh Ravichander - Topic,500,835804.25,1.56,417902125,Music
CA,Canada,RTGame,500,787291.4,4.69,393645700,Gaming
CA,Canada,CaseOh,500,749545.12,4.1,374772559,Gaming
CA,Canada,Saregama Telugu,500,738426.01,1.24,369213007,Music
CA,Canada,Metallica,500,645874.77,3.78,322937387,Music
